,Clouds,Humidity,Latitude,Temperature,Wind_Speed
301,0,69,13.59,77.0,3.36
302,68,60,63.45,-2.3,5.61
303,100,89,-22.12,63.4,5.39
304,80,100,-15.51,78.34,7.4
305,68,34,-25.85,64.4,9.17
306,0,30,14.2,52.24,8.52
307,8,60,45.25,-3.11,2.93
308,20,83,15.09,78.8,2.24
309,64,75,45.85,34.02,3.38
310,8,98,-21.35,74.56,19.48
311,32,100,72.79,17.55,13.44
312,68,68,-33.23,75.42,15.23
313,88,32,60.72,41.0,34.45
314,90,84,68.22,5.0,12.75
315,12,100,4.87,82.44,7.07
316,0,82,30.43,61.07,4.7
317,0,54,-17.62,72.22,10.42
318,90,66,53.82,12.2,9.17
319,0,100,12.79,78.3,12.66
320,0,84,26.55,50.08,3.6
321,12,93,-9.87,75.19,1.92
322,8,75,-18.96,80.86,3.04
323,36,70,62.58,43.05,5.82
324,1,52,43.41,53.96,9.17
325,32,95,7.99,71.5,3.04
326,8,94,54.12,47.2,14.0
327,24,95,-11.1,57.91,6.4
328,36,67,29.06,62.6,16.11
329,0,67,54.34,-5.45,4.16
330,1,10,33.82,53.13,4.7
331,90,50,-36.55,75.2,9.17
332,0,81,37.27,46.4,3.36
333,20,80,49.6,24.57,6.85
334,75,70,5.98,87.8,4.7
335,24,99,-10.62,81.27,15.46
336,75,65,40.77,43.3,9.42
337,0,76,53.19,5.71,2.93
338,32,100,26.54,80.41,18.03
339,0,66,38.48,43.69,4.38
340,0,88,-23.32,57.42,4.27
341,88,98,-20.07,68.22,2.93
342,8,100,65.58,29.29,38.61
343,40,78,16.99,80.6,5.82
344,56,82,-22.95,57.2,5.82
345,90,92,40.22,26.6,17.9
346,40,74,15.84,82.4,11.41
347,0,100,5.77,83.2,9.19
348,92,100,30.29,47.25,3.27
349,1,62,45.97,25.74,4.7
350,68,68,56.11,12.01,11.21
351,75,100,4.15,73.4,3.36
352,40,83,-34.61,73.38,10.29
353,20,88,10.24,78.8,6.17
354,76,94,36.2,35.5,2.04
355,8,88,-2.92,77.98,11.43
356,8,85,-14.4,77.94,2.37
357,24,83,7.42,80.1,3.38
358,40,82,24.63,66.2,6.93
359,0,54,35.6,40.72,2.59
360,68,86,58.45,8.82,8.52
361,32,99,18.28,83.02,10.65
362,80,82,65.61,24.12,12.55
363,75,44,-32.72,78.8,13.87
364,20,71,39.28,51.8,3.36
365,1,46,37.68,28.04,10.29
366,75,73,24.51,71.6,13.42
367,0,82,-27.37,57.2,8.05
368,0,42,-15.77,98.6,10.29
369,0,58,20.52,56.47,7.18
370,88,67,-40.95,65.74,5.95
371,0,87,44.62,35.5,2.37
372,20,88,5.21,80.6,3.36
373,0,100,52.48,10.44,4.38
374,0,52,-20.31,87.8,9.17
375,0,100,61.92,20.11,11.21
376,0,81,14.4,40.77,2.71
377,0,41,52.96,23.0,15.66
